64564ea251955a124226823f,6456494251955a1242268227,64564dd551955a1242268233,It's good but need more information,3.4
6456569751955a1242268243,6456494251955a1242268227,64564de351955a1242268234,I see it is a good for beginner in coding,4
6456570251955a124226824c,6456497151955a1242268228,64564de351955a1242268234,"It's not bad, but there are better",2.5
6456576c51955a1242268255,645649a751955a1242268229,64564dd551955a1242268233,good book,3.1
6456578d51955a1242268257,645649a751955a1242268229,64564def51955a1242268235,nice for learning and practicing,3.6
645657af51955a1242268259,645649a751955a1242268229,64564dfb51955a1242268236,A good technical book,3.9
6456813351955a124226825f,645649d551955a124226822a,64564def51955a1242268235,A good technical book,4.6
6456815f51955a1242268265,64564a2e51955a124226822b,64564def51955a1242268235,The syntax is good. we need for Java,4.6
6456817f51955a1242268267,64564a2e51955a124226822b,64564de351955a1242268234,Hard academy but have a good ideas,4.1
645681b251955a1242268269,64564a2e51955a124226822b,64564dfb51955a1242268236,Proovides a good sceince,4.2
6467badb8794506cd596ad60,6456494251955a1242268227,64564def51955a1242268235,Good Book,4.1
647053f85840b10446ee6057,6456497151955a1242268228,64564def51955a1242268235,It is a good book,3.1
